Seasonality,Metro,Tier,HPI
NSA,Atlanta,High,72.95
NSA,Atlanta,High,72.42
NSA,Atlanta,High,72.61
NSA,Atlanta,High,73.03
NSA,Atlanta,High,73.6
NSA,Atlanta,High,74.12
NSA,Atlanta,High,74.57
NSA,Atlanta,High,74.84
NSA,Atlanta,High,75.12
NSA,Atlanta,High,75.1
NSA,Atlanta,High,75.05
NSA,Atlanta,High,75.27
NSA,Atlanta,High,75.82
NSA,Atlanta,High,76.22
NSA,Atlanta,High,76.49
NSA,Atlanta,High,76.42
NSA,Atlanta,High,77
NSA,Atlanta,High,77.52
NSA,Atlanta,High,77.83
NSA,Atlanta,High,77.98
NSA,Atlanta,High,77.97
NSA,Atlanta,High,78.37
NSA,Atlanta,High,78.81
NSA,Atlanta,High,79.39
NSA,Atlanta,High,79.53
NSA,Atlanta,High,79.43
NSA,Atlanta,High,79.34
NSA,Atlanta,High,79.29
NSA,Atlanta,High,79.26
NSA,Atlanta,High,79.34
NSA,Atlanta,High,79.81
NSA,Atlanta,High,80.38
NSA,Atlanta,High,80.66
NSA,Atlanta,High,80.75
NSA,Atlanta,High,80.74
NSA,Atlanta,High,81.01
NSA,Atlanta,High,81.42
NSA,Atlanta,High,81.71
NSA,Atlanta,High,81.74
NSA,Atlanta,High,81.95
NSA,Atlanta,High,82.24
NSA,Atlanta,High,82.87
NSA,Atlanta,High,82.95
NSA,Atlanta,High,83.35
NSA,Atlanta,High,83.58
NSA,Atlanta,High,83.83
NSA,Atlanta,High,83.98
NSA,Atlanta,High,83.64
NSA,Atlanta,High,83.76
